,Review_title,Ratings,Reviews
0,Highly recommended,5,"This headset is mind-blowing dude.  Feels like I am sitting in theater.  Sound quality is better than boat.  Bass is too good.  I would recommend you all to buy.  This product has won my heart ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜. Thanks Flipkart,  thanks Manoj Aadarkar.  Keep it up.READ MORE"
1,Simply awesome,5,just loved it. crystal clear sound. gentle bass and superb battery backup. Portronics is worthy buyingREAD MORE
2,Pretty good,4,Great ProductI am using it since last 1 year and there are no issues that i am facing till now .Go for it if you love listening to high quality songs.Although this is not for gaming as the sound gets delayed .Give it a like if my review helped you outğŸ˜ŠREAD MORE
3,Worth the money,4,Superb sound quality â¤ï¸ğŸ˜ğŸ˜.....Sound 10/10Bass 10/10Battery 10/10Wonderful effect....watch Hollywood movies sounds are very clear and nice tuning..... excellent product.....I love itâ¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸READ MORE
4,Really Nice,4,Nice product good bass and sound quality is too good... battery back is two days running for normal use and for heavy user it can be running one day only... but in my opinion this is very good neckband at 899 rsREAD MORE
5,Super!,5,- Really good sound quality- different from the boat variant which focuses more on bass- this one has done good crisp sound- battery back up is nice- charge time is slightly higher- the wires are little short as compared to boat headsets which can be an issue(I am comparing it with Boat as I have a boat headset too)Over all really satisfiedREAD MORE
6,Terrific purchase,5,"Super bass, clear sound, good battery backup an easy to handle very comfortable.READ MORE"
7,Highly recommended,5,Battery performance is very nice and perfect very nice so good quality of the price in the rateREAD MORE
8,Terrific,5,Good qualityREAD MORE
9,Awesome,5,Sound Quality is awsome.....Who want to feel music buy it...READ MORE
